Model,Descriptors,n_bits,balanced,ROC AUC,ROC AUC val
xgb,"['morgan','mordred']",1024,0.5303,0.843,0.8103
xgb,['morgan'],1024,0.52625,0.8437,0.7699
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.71435,0.9363,0.8527
xgb,"['rdkit', 'morgan']",1024,0.5687,0.7673,0.7431
xgb,['maccs'],2048,0.68415,0.9056,0.8451
xgb,['mordred'],2048,0.5303,0.8155,0.8212
xgb,"['mordred', 'maccs']",2048,0.75705,0.9018,0.8566
knn,"['mordred', 'maccs']",2048,0.5666,0.6664,0.6031
lr,"['mordred', 'maccs']",2048,0.6032,0.8224,0.8506
rf,"['mordred', 'maccs']",2048,0.5,0.6954,0.5976
xgb,"['morgan', 'maccs']",2048,0.6457,0.9287,0.8146
svc,"['morgan', 'maccs']",2048,0.5,0.813,0.8353
xgb,"['morgan','mordred']",2048,0.5303,0.8424,0.8015
svc,"['morgan','mordred']",2048,0.55655,0.7411,0.6172
svc,['morgan'],2048,0.49595,0.8243,0.5812
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.5687,0.8354,0.7896
svc,"['rdkit', 'morgan']",2048,0.4959,0.8241,0.6545
xgb,['morgan'],2048,0.5647,0.8649,0.7775
xgb,"['rdkit', 'maccs']",2048,0.52615,0.8657,0.7918
xgb,"['rdkit', 'mordred']",2048,0.5687,0.8449,0.8494
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.71435,0.9338,0.8759999999999999
xgb,"['rdkit', 'morgan']",2048,0.5605,0.872,0.7719
xgb,['rdkit'],2048,0.5605,0.855,0.7774
