Model,Data config,Load model,Section,Features,Metric,Split,Output,Model config,Descriptor,Fingerprint,n_bits,n_cv,n_jobs,Patience,Gridsearch,n_iter,recall 0,recall 1,ROC AUC test,ROC AUC val,rparams
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,1024,5,-1,10000,True,400,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,1024,5,-1,10000,True,400,0.5132,0.8590000000000001,0.6861,0.1705,"{'solver': 'lbfgs', 'max_iter': 15000, 'class_weight': None, 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,maccs,167,5,-1,10000,True,400,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,maccs,167,5,-1,10000,True,400,0.4701,0.8919,0.6809999999999999,0.2727,"{'solver': 'saga', 'max_iter': 10, 'class_weight': 'balanced', 'C': 300}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,100,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,100,0.3185,0.8205,0.5695,0.3409,"{'solver': 'sag', 'max_iter': 500000000, 'class_weight': 'balanced', 'C': 0.001}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,physical,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,100,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,64,5,-1,10000,True,100,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,64,5,-1,10000,True,100,0.4075,0.8352,0.6213,0.2045,"{'solver': 'sag', 'max_iter': 30, 'class_weight': 'balanced', 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,256,5,-1,10000,True,100,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,256,5,-1,10000,True,100,0.4784,0.8315,0.655,0.1705,"{'solver': 'sag', 'max_iter': 30, 'class_weight': 'balanced', 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,512,5,-1,10000,True,100,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,512,5,-1,10000,True,100,0.5146,0.8809999999999999,0.6978,0.2045,"{'solver': 'saga', 'max_iter': 200, 'class_weight': None, 'C': 10.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,1024,5,-1,10000,True,100,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,1024,5,-1,10000,True,100,0.5076,0.8608,0.6842,0.1705,"{'solver': 'sag', 'max_iter': 30, 'class_weight': 'balanced', 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,maccs,167,5,-1,10000,True,100,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,maccs,167,5,-1,10000,True,100,0.4701,0.8773,0.6737,0.2614,"{'solver': 'saga', 'max_iter': 10, 'class_weight': None, 'C': 100}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,10,0.1474,0.9853,0.5664,0.3636,"{'solver': 'liblinear', 'max_iter': 150, 'class_weight': 'balanced', 'C': 5000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,10,0.4172,0.8352,0.6262,0.7841,"{'solver': 'sag', 'max_iter': 30, 'class_weight': None, 'C': 1100}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,physical,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,10,0.1474,0.9853,0.5664,0.3636,"{'solver': 'liblinear', 'max_iter': 150, 'class_weight': 'balanced', 'C': 5000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,64,5,-1,10000,True,10,0.1474,0.9853,0.5664,0.3636,"{'solver': 'liblinear', 'max_iter': 150, 'class_weight': 'balanced', 'C': 5000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,64,5,-1,10000,True,10,0.4131,0.826,0.6195,0.2045,"{'solver': 'saga', 'max_iter': 100000000, 'class_weight': None, 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,256,5,-1,10000,True,10,0.1474,0.9853,0.5664,0.3636,"{'solver': 'liblinear', 'max_iter': 150, 'class_weight': 'balanced', 'C': 5000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,256,5,-1,10000,True,10,0.4854,0.8297,0.6575,0.1705,"{'solver': 'saga', 'max_iter': 100000000, 'class_weight': None, 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,512,5,-1,10000,True,10,0.1474,0.9853,0.5664,0.3636,"{'solver': 'liblinear', 'max_iter': 150, 'class_weight': 'balanced', 'C': 5000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,512,5,-1,10000,True,10,0.5285,0.848,0.6882,0.1705,"{'solver': 'saga', 'max_iter': 100000000, 'class_weight': None, 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,1024,5,-1,10000,True,10,0.1474,0.9853,0.5664,0.3636,"{'solver': 'liblinear', 'max_iter': 150, 'class_weight': 'balanced', 'C': 5000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,1024,5,-1,10000,True,10,0.5132,0.8590000000000001,0.6861,0.1705,"{'solver': 'saga', 'max_iter': 100000000, 'class_weight': None, 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,maccs,167,5,-1,10000,True,10,0.1474,0.9853,0.5664,0.3636,"{'solver': 'liblinear', 'max_iter': 150, 'class_weight': 'balanced', 'C': 5000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,maccs,167,5,-1,10000,True,10,0.459,0.8956,0.6773,0.2614,"{'solver': 'saga', 'max_iter': 10, 'class_weight': None, 'C': 1500}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,200,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,200,0.4172,0.8352,0.6262,0.7841,"{'solver': 'liblinear', 'max_iter': 100000000, 'class_weight': None, 'C': 60}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,physical,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,200,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,64,5,-1,10000,True,200,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,64,5,-1,10000,True,200,0.4075,0.8352,0.6213,0.2045,"{'solver': 'sag', 'max_iter': 30, 'class_weight': 'balanced', 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,256,5,-1,10000,True,200,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,256,5,-1,10000,True,200,0.4784,0.8315,0.655,0.1705,"{'solver': 'sag', 'max_iter': 30, 'class_weight': 'balanced', 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,512,5,-1,10000,True,200,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,512,5,-1,10000,True,200,0.516,0.8608,0.6884,0.2159,"{'solver': 'saga', 'max_iter': 10, 'class_weight': None, 'C': 100}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,1024,5,-1,10000,True,200,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,1024,5,-1,10000,True,200,0.5132,0.8590000000000001,0.6861,0.1705,"{'solver': 'lbfgs', 'max_iter': 15000, 'class_weight': None, 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,maccs,167,5,-1,10000,True,200,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,maccs,167,5,-1,10000,True,200,0.5118,0.8004,0.6561,0.2159,"{'solver': 'sag', 'max_iter': 10, 'class_weight': None, 'C': 70}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,32,5,-1,10000,True,400,0.4284,0.9084,0.6684,0.3295,"{'solver': 'lbfgs', 'max_iter': 10, 'class_weight': 'balanced', 'C': 1000.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,32,5,-1,10000,True,400,0.4103,0.8278,0.6191,0.7727,"{'solver': 'sag', 'max_iter': 10, 'class_weight': None, 'C': 70}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,physical,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,32,5,-1,10000,True,400,0.4284,0.9084,0.6684,0.3295,"{'solver': 'lbfgs', 'max_iter': 10, 'class_weight': 'balanced', 'C': 1000.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,64,5,-1,10000,True,400,0.4284,0.9084,0.6684,0.3295,"{'solver': 'lbfgs', 'max_iter': 10, 'class_weight': 'balanced', 'C': 1000.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,64,5,-1,10000,True,400,0.4075,0.8352,0.6213,0.2045,"{'solver': 'sag', 'max_iter': 30, 'class_weight': 'balanced', 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,256,5,-1,10000,True,400,0.4284,0.9084,0.6684,0.3295,"{'solver': 'lbfgs', 'max_iter': 10, 'class_weight': 'balanced', 'C': 1000.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,256,5,-1,10000,True,400,0.4784,0.8315,0.655,0.1705,"{'solver': 'sag', 'max_iter': 30, 'class_weight': 'balanced', 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,512,5,-1,10000,True,400,0.4284,0.9084,0.6684,0.3295,"{'solver': 'lbfgs', 'max_iter': 10, 'class_weight': 'balanced', 'C': 1000.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,512,5,-1,10000,True,400,0.5146,0.8809999999999999,0.6978,0.2045,"{'solver': 'saga', 'max_iter': 200, 'class_weight': None, 'C': 10.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,1024,5,-1,10000,True,400,0.4284,0.9084,0.6684,0.3295,"{'solver': 'lbfgs', 'max_iter': 10, 'class_weight': 'balanced', 'C': 1000.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,1024,5,-1,10000,True,400,0.5132,0.8590000000000001,0.6861,0.1705,"{'solver': 'lbfgs', 'max_iter': 15000, 'class_weight': None, 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,maccs,167,5,-1,10000,True,400,0.4284,0.9084,0.6684,0.3295,"{'solver': 'lbfgs', 'max_iter': 10, 'class_weight': 'balanced', 'C': 1000.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,maccs,167,5,-1,10000,True,400,0.491,0.8718,0.6814,0.2386,"{'solver': 'saga', 'max_iter': 10, 'class_weight': None, 'C': 100}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,32,5,-1,10000,True,100,0.4284,0.9084,0.6684,0.3295,"{'solver': 'lbfgs', 'max_iter': 10, 'class_weight': 'balanced', 'C': 1000.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,32,5,-1,10000,True,100,0.4172,0.8352,0.6262,0.7841,"{'solver': 'liblinear', 'max_iter': 100000000, 'class_weight': None, 'C': 60}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,physical,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,32,5,-1,10000,True,100,0.4284,0.9084,0.6684,0.3295,"{'solver': 'lbfgs', 'max_iter': 10, 'class_weight': 'balanced', 'C': 1000.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,64,5,-1,10000,True,100,0.4284,0.9084,0.6684,0.3295,"{'solver': 'lbfgs', 'max_iter': 10, 'class_weight': 'balanced', 'C': 1000.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,64,5,-1,10000,True,100,0.4075,0.8352,0.6213,0.2045,"{'solver': 'sag', 'max_iter': 30, 'class_weight': 'balanced', 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,256,5,-1,10000,True,100,0.4284,0.9084,0.6684,0.3295,"{'solver': 'lbfgs', 'max_iter': 10, 'class_weight': 'balanced', 'C': 1000.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,256,5,-1,10000,True,100,0.4784,0.8315,0.655,0.1705,"{'solver': 'sag', 'max_iter': 30, 'class_weight': 'balanced', 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,512,5,-1,10000,True,100,0.4284,0.9084,0.6684,0.3295,"{'solver': 'lbfgs', 'max_iter': 10, 'class_weight': 'balanced', 'C': 1000.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,512,5,-1,10000,True,100,0.5146,0.8809999999999999,0.6978,0.2045,"{'solver': 'saga', 'max_iter': 200, 'class_weight': None, 'C': 10.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,1024,5,-1,10000,True,100,0.4284,0.9084,0.6684,0.3295,"{'solver': 'lbfgs', 'max_iter': 10, 'class_weight': 'balanced', 'C': 1000.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,1024,5,-1,10000,True,100,0.5076,0.8608,0.6842,0.1705,"{'solver': 'sag', 'max_iter': 30, 'class_weight': 'balanced', 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,maccs,167,5,-1,10000,True,100,0.4284,0.9084,0.6684,0.3295,"{'solver': 'lbfgs', 'max_iter': 10, 'class_weight': 'balanced', 'C': 1000.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,maccs,167,5,-1,10000,True,100,0.4743,0.8791,0.6767,0.2386,"{'solver': 'saga', 'max_iter': 10, 'class_weight': None, 'C': 100}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,32,5,-1,10000,True,10,0.3964,0.9212,0.6588,0.3182,"{'solver': 'sag', 'max_iter': 15000, 'class_weight': None, 'C': 1100}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,32,5,-1,10000,True,10,0.3755,0.8352,0.6053,0.3295,"{'solver': 'saga', 'max_iter': 10, 'class_weight': None, 'C': 1500}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,physical,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,32,5,-1,10000,True,10,0.3964,0.9212,0.6588,0.3182,"{'solver': 'sag', 'max_iter': 15000, 'class_weight': None, 'C': 1100}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,64,5,-1,10000,True,10,0.3964,0.9212,0.6588,0.3182,"{'solver': 'sag', 'max_iter': 15000, 'class_weight': None, 'C': 1100}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,64,5,-1,10000,True,10,0.4131,0.826,0.6195,0.2045,"{'solver': 'saga', 'max_iter': 100000000, 'class_weight': None, 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,256,5,-1,10000,True,10,0.3978,0.9212,0.6595,0.3182,"{'solver': 'sag', 'max_iter': 15000, 'class_weight': None, 'C': 1100}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,256,5,-1,10000,True,10,0.4854,0.8297,0.6575,0.1705,"{'solver': 'saga', 'max_iter': 100000000, 'class_weight': None, 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,512,5,-1,10000,True,10,0.3978,0.9212,0.6595,0.3182,"{'solver': 'sag', 'max_iter': 15000, 'class_weight': None, 'C': 1100}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,512,5,-1,10000,True,10,0.5285,0.848,0.6882,0.1705,"{'solver': 'saga', 'max_iter': 100000000, 'class_weight': None, 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,1024,5,-1,10000,True,10,0.3964,0.9212,0.6588,0.3182,"{'solver': 'sag', 'max_iter': 15000, 'class_weight': None, 'C': 1100}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,1024,5,-1,10000,True,10,0.5132,0.8590000000000001,0.6861,0.1705,"{'solver': 'saga', 'max_iter': 100000000, 'class_weight': None, 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,maccs,167,5,-1,10000,True,10,0.3964,0.9212,0.6588,0.3182,"{'solver': 'sag', 'max_iter': 15000, 'class_weight': None, 'C': 1100}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,maccs,167,5,-1,10000,True,10,0.4659,0.8919,0.6789,0.25,"{'solver': 'saga', 'max_iter': 10, 'class_weight': None, 'C': 1500}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,32,5,-1,10000,True,200,0.4284,0.9084,0.6684,0.3295,"{'solver': 'lbfgs', 'max_iter': 10, 'class_weight': 'balanced', 'C': 1000.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,mordred,morgan,32,5,-1,10000,True,200,0.4172,0.8352,0.6262,0.7841,"{'solver': 'liblinear', 'max_iter': 100000000, 'class_weight': None, 'C': 60}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,32,15,-1,10000,True,500,0.17800000000000002,0.9634,0.5707,0.3523,"{'solver': 'sag', 'max_iter': 3000, 'class_weight': 'balanced', 'C': 1000000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,32,15,-1,10000,True,500,0.3602,0.8022,0.5812,0.2955,"{'solver': 'sag', 'max_iter': 50, 'class_weight': 'balanced', 'C': 0.001}"
