Model,Descriptors,n_bits,ROC AUC test,ROC AUC val
lr,"['rdkit', 'mordred']",64,0.8673,0.8559
lr,"['rdkit', 'morgan','mordred', 'maccs']",64,0.8902,0.8616
lr,"['rdkit', 'morgan']",64,0.8481,0.8601
lr,['rdkit'],64,0.8297,0.8432
knn,['maccs'],64,0.8751,0.8606
knn,['mordred'],64,0.8702,0.8902
knn,"['morgan', 'maccs']",64,0.8855,0.8743
knn,"['morgan','mordred']",64,0.8666,0.8638
knn,['morgan'],64,0.856,0.8524
knn,"['rdkit', 'maccs']",64,0.8714,0.8681
knn,"['rdkit', 'mordred']",64,0.8812,0.8929
rf,['maccs'],64,0.8873,0.8778
rf,['mordred'],64,0.872,0.8726
rf,"['morgan', 'maccs']",64,0.8598,0.8759
rf,"['morgan','mordred']",64,0.843,0.8314
rf,['morgan'],64,0.8619,0.8901
rf,"['rdkit', 'maccs']",64,0.8751,0.8653
rf,"['rdkit', 'mordred']",64,0.8385,0.8542
rf,"['rdkit', 'morgan','mordred', 'maccs']",64,0.8740000000000001,0.8675
rf,"['rdkit', 'morgan']",64,0.8753,0.8743
rf,['rdkit'],64,0.8654,0.8535
lr,['maccs'],64,0.8332,0.8388
lr,['mordred'],64,0.8624,0.8565
lr,"['morgan', 'maccs']",64,0.8507,0.8533
lr,"['morgan','mordred']",64,0.8543,0.8624
lr,['morgan'],64,0.8202,0.8109999999999999
lr,"['rdkit', 'maccs']",64,0.8595,0.8709
lr,"['rdkit', 'mordred']",64,0.8094,0.8224
lr,"['rdkit', 'morgan','mordred', 'maccs']",64,0.8759999999999999,0.867
lr,"['rdkit', 'morgan']",64,0.8463,0.8619
lr,['rdkit'],64,0.8287,0.853
knn,['maccs'],64,0.8751,0.8606
knn,['mordred'],64,0.8574,0.8664
knn,"['morgan', 'maccs']",64,0.8855,0.8743
knn,"['morgan','mordred']",64,0.8583,0.8651
knn,['morgan'],64,0.856,0.8524
knn,"['rdkit', 'maccs']",64,0.8849,0.882
knn,"['rdkit', 'mordred']",64,0.8608,0.8487
knn,"['rdkit', 'morgan','mordred', 'maccs']",64,0.8799,0.879
knn,"['rdkit', 'morgan']",64,0.871,0.8884
knn,['rdkit'],64,0.8562,0.8756
rf,['maccs'],256,0.8871,0.8781
rf,['mordred'],256,0.8557,0.8543
rf,"['morgan', 'maccs']",256,0.856,0.8677
rf,"['morgan','mordred']",256,0.8328,0.8224
rf,['morgan'],256,0.8744,0.8902
rf,"['rdkit', 'maccs']",256,0.8740000000000001,0.8685
rf,"['rdkit', 'mordred']",256,0.8462,0.8532
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8423,0.8375
rf,"['rdkit', 'morgan']",256,0.8739,0.8771
rf,['rdkit'],256,0.8692,0.8638
lr,['maccs'],256,0.8332,0.8388
lr,['mordred'],256,0.8628,0.8567
lr,"['morgan', 'maccs']",256,0.8768,0.8795
lr,"['morgan','mordred']",256,0.8721,0.8748
lr,['morgan'],256,0.8607,0.879
lr,"['rdkit', 'maccs']",256,0.8593,0.8709
lr,"['rdkit', 'mordred']",256,0.8094,0.8224
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8889,0.8798
lr,"['rdkit', 'morgan']",256,0.8739,0.8849
lr,['rdkit'],256,0.8287,0.853
knn,['maccs'],256,0.8751,0.8606
knn,['mordred'],256,0.8574,0.8664
knn,"['morgan', 'maccs']",256,0.8756,0.8718
knn,"['morgan','mordred']",256,0.8698,0.8843
knn,['morgan'],256,0.8502,0.8287
knn,"['rdkit', 'maccs']",256,0.8849,0.882
knn,"['rdkit', 'mordred']",256,0.8608,0.8487
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8686,0.8815
knn,"['rdkit', 'morgan']",256,0.8631,0.8543
knn,['rdkit'],256,0.8562,0.8756
xgb,"['morgan', 'maccs']",256,0.8809999999999999,0.8827
xgb,"['morgan','mordred']",256,0.878,0.8856
xgb,['morgan'],256,0.8747,0.8869
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8281,0.8356
xgb,"['rdkit', 'morgan']",256,0.8734,0.8729
svc,"['morgan', 'maccs']",256,0.8477,0.8417
svc,"['mordred', 'maccs']",256,0.8756,0.8738
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.9025,0.8957
svc,['maccs'],256,0.8427,0.8434
svc,['mordred'],256,0.8323,0.8467
svc,"['morgan', 'maccs']",256,0.8477,0.8417
svc,"['morgan','mordred']",256,0.8569,0.8559
svc,['morgan'],256,0.8763,0.8763
svc,"['rdkit', 'maccs']",256,0.8708,0.8803
svc,"['rdkit', 'mordred']",256,0.8728,0.8716
svc,"['rdkit', 'morgan']",256,0.8449,0.8565
svc,['rdkit'],256,0.8292,0.8503
svc,"['morgan', 'maccs']",256,0.9094,0.9077
svc,"['mordred', 'maccs']",256,0.8815,0.8809
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.9016,0.8977
svc,['maccs'],256,0.858,0.8489
