,smiles,docking
104,[NH3+]CCC=1C=NC(C12)=CC=C(C2)OCc(ccc3)cc3COC(C=C4)=C[C@H](C4=5)C(=CN5)CC[NH3+],-10.538824
105,[NH3+]CCC(=CN1)[C@@H](C=12)C=C(C=C2)OCCCCCCOC(C3)=CC=C(C34)N=CC=4CC[NH3+],-10.52842
106,CC(=O)Nc(cc1)ccc1C[NH2+]C[C@H]2CC[N@@H+](CC2)CCCC(=CN3)[C@H](C=34)C=C(C=C4)n5cnnc5,-10.527503
107,c1cc(C(=O)N)cc(c12)CCO[C@H]2CC[N@@H+](CC3)CC[C@@H]3c4cccc(c45)cccc5,-10.510283
108,C[N@@H+]1CCC[C@@H]1CC(=CN2)[C@@H](C=23)C=C(C=C3)NS(=O)(=O)c4c(Cl)cccc4,-10.498446
109,[NH3+]CCC(=CN1)[C@@H](C=12)C=C(C=C2)OCC(=O)N3CCN(CC3)C(=O)COC(C4)=CC=C(C45)N=CC=5CC[NH3+],-10.496983
110,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCCNC(=O)NCCOC(C3)=CC=C(C34)N=CC=4CC[NH3+],-10.443817
111,CC(=O)Nc(cc1)ccc1C(=O)N(C)C[C@H]2CC[N@H+](CC2)CCCC(=CN3)[C@H](C=34)C=C(C=C4)n5cnnc5,-10.43297
112,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCCCCCCOC(C3)=CC=C(C34)N=CC=4CC[NH3+],-10.428369
113,c1nncn1C(C=C2)=C[C@@H](C2=3)C(=CN3)CCC[N@@H+](CC4)CC[C@@H]4CN(C)S(=O)(=O)c5ccccc5,-10.4203005
114,c1nncn1C(C=C2)=C[C@@H](C2=3)C(=CN3)CCC[N@@H+](CC4)CC[C@]4(F)Cc5c(F)cccc5,-10.41783
115,c1cc(F)ccc1NC(=O)NC(C=C2)=N[C@H](C2=3)C(=CN3)[C@H]4CC[N@H+](C)CC4,-10.412413
116,c1cccc(F)c1C(=O)Nc(ccc2)cc2CC[NH+](CC3)CCN3c4cccc(c45)nc(C)cc5,-10.410079
117,c1cc(F)ccc1NC(=O)NC(C=C2)=N[C@@H](C2=3)C(=CN3)[C@H]4CC[N@H+](C)CC4,-10.409542
118,C=12[C@@H]3C(=NC1)C=CC=C3C=4[C@@H](C2)N(C)C[C@@H](C4)C(=O)N[C@@](O5)(C)C(=O)N([C@@]56O)[C@@H](CC(C)C)C(=O)N[C@H]6Cc7ccccc7,-10.408407
119,[NH3+]CCC(=CN1)[C@@H](C=12)C=C(C=C2)OCCNC(=O)NCCOC(C3)=CC=C(C34)N=CC=4CC[NH3+],-10.408284
120,c1nncn1C(C=C2)=C[C@@H](C2=3)C(=CN3)CCC[N@@H+](CC4)CC[C@]4(F)CCc5ccc(F)cc5,-10.4077425
121,O=C1N(C)[C@H](CO1)CC(C=C2)=C[C@@H](C2=3)C(=CN3)CC[N@@H+](C4)CC[C@H]4C[N@@H+](C)Cc5ccccc5,-10.401682
122,N#Cc1ccc(cc1)-n(nc2)c(CC)c2C(=O)N(CC3)c(c34)cc5c(c4)ccnc5N6CC[NH2+]CC6,-10.400365
123,c1ccccc1NC(=O)Nc(ccc2)cc2CC[NH+](CC3)CCN3c4cccc(c45)nc(C)cc5,-10.39955
124,c1cc(C)nc(c12)cccc2OCC[N@@H+](CC3)CC[C@@H]3Cc4cc(ccc4)-c5cccnc5,-10.398607
125,c1nncn1C(C=C2)=C[C@@H](C2=3)C(=CN3)CCC[N@@H+](CC4)CC[C@@H]4CNc5ccccn5,-10.380144
126,c1cc(C)nc(c12)cccc2OCC[N@@H+](CC3)CC[C@@H]3Cc4cc(ccc4)C5CCN(CC5)S(=O)(=O)C,-10.35194
127,c1ccccc1NC(=O)[C@@H](C)N[C@H]2CC[N@@H+](CC2)CCCC(=CN3)[C@@H](C=34)C=C(C=C4)n5cnnc5,-10.351266
128,c1nncn1C(C=C2)=C[C@@H](C2=3)C(=CN3)CCC[N@H+](CC4)CC[C@]4(F)CCc5ccc(F)cc5,-10.349501
129,c1ccccc1[C@](C)(CO)[NH2+][C@H]2CC[N@@H+](CC2)CCCC(=CN3)[C@H](C=34)C=C(C=C4)n5cnnc5,-10.347661
130,c1cc(C)nc(c12)cccc2OCC[N@@H+](CC3)CC[C@@H]3Cc4cc(ccc4)-c5cccnc5,-10.335054
131,C1C[N@@H+](C)CC[C@@H]1C(=CN2)[C@H](C=23)C=C(C=C3)NC(=O)CCCCCCC(=O)NC(C4)=CC=C(C4=5)N=CC5[C@H]6CC[N@H+](C)CC6,-10.332469
132,c1nncn1C(C=C2)=C[C@H](C2=3)C(=CN3)CCC[N@H+](C4)CC[C@H]4COCc5ccccc5,-10.322166
