Model,Descriptors,n_bits,ROC AUC,ROC AUC val
svc,"['morgan', 'maccs']",2048,0.8655,0.867
svc,"['morgan','mordred']",2048,0.7791,0.9218
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.747,0.6875
rf,"['rdkit', 'morgan']",2048,0.7288,0.6578
rf,['morgan'],2048,0.7551,0.6542
rf,"['morgan', 'maccs']",2048,0.8092,0.6963
rf,"['morgan','mordred']",2048,0.7678,0.7548
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.8061,0.6499
lr,"['rdkit', 'morgan']",2048,0.7636,0.9259999999999999
lr,['morgan'],2048,0.7468,0.8603
lr,"['morgan', 'maccs']",2048,0.8302,0.7194
lr,"['morgan','mordred']",2048,0.8219,0.8569
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.6864,0.7412
knn,"['rdkit', 'morgan']",2048,0.6136,0.6183
knn,['morgan'],2048,0.6168,0.5827
knn,"['morgan', 'maccs']",2048,0.6506,0.6185
knn,"['morgan','mordred']",2048,0.6416,0.7463
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.7721,0.9049
xgb,['rdkit'],32,0.8538,0.7355
xgb,"['rdkit', 'maccs']",32,0.9205,0.9414
xgb,"['rdkit', 'mordred']",32,0.8121,0.9384
xgb,"['rdkit', 'morgan']",32,0.7939,0.8062
xgb,['morgan'],32,0.6232,0.6144
xgb,"['morgan', 'maccs']",32,0.8787,0.9169
xgb,"['morgan','mordred']",32,0.8114,0.9396
xgb,['mordred'],32,0.8298,0.7873
xgb,"['mordred', 'maccs']",32,0.9016,0.9292
xgb,['maccs'],32,0.879,0.8409
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8864,0.9256
svc,['rdkit'],32,0.8977,0.9185
svc,"['rdkit', 'maccs']",32,0.9205,0.8922
svc,"['rdkit', 'mordred']",32,0.8598,0.8144
svc,"['rdkit', 'morgan']",32,0.8129,0.9035
svc,['morgan'],32,0.7881,0.6241
svc,"['morgan', 'maccs']",32,0.9061,0.8655
svc,"['morgan','mordred']",32,0.8415,0.9128
svc,['mordred'],32,0.8505,0.9031
svc,"['mordred', 'maccs']",32,0.867,0.9583
svc,['maccs'],32,0.9008,0.8484
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.7811,0.7956
rf,['rdkit'],32,0.7924,0.8028
rf,"['rdkit', 'maccs']",32,0.8364,0.8358
rf,"['rdkit', 'mordred']",32,0.7447,0.6859999999999999
rf,"['rdkit', 'morgan']",32,0.7939,0.7765
rf,['morgan'],32,0.6469,0.5801
rf,"['morgan', 'maccs']",32,0.8723,0.7589
rf,"['morgan','mordred']",32,0.7423,0.6773
rf,['mordred'],32,0.7547,0.6412
rf,"['mordred', 'maccs']",32,0.7641,0.6706
rf,['maccs'],32,0.8618,0.7567
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8015,0.6371
lr,['rdkit'],32,0.7311,0.6187
lr,"['rdkit', 'maccs']",32,0.8227,0.6953
lr,"['rdkit', 'mordred']",32,0.8197,0.8302
lr,"['rdkit', 'morgan']",32,0.7265,0.6104
lr,['morgan'],32,0.6551,0.5376
lr,"['morgan', 'maccs']",32,0.7851,0.6256
lr,"['morgan','mordred']",32,0.8099,0.8785
lr,['mordred'],32,0.8159,0.8629
lr,"['mordred', 'maccs']",32,0.8009,0.6408
lr,['maccs'],32,0.7911,0.6285
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.6955,0.7836
knn,['rdkit'],32,0.6508,0.7915
knn,"['rdkit', 'maccs']",32,0.6462,0.6514
knn,"['rdkit', 'mordred']",32,0.653,0.6942
knn,"['rdkit', 'morgan']",32,0.6008,0.6983
knn,['morgan'],32,0.5526,0.5589
knn,"['morgan', 'maccs']",32,0.6367,0.6088
knn,"['morgan','mordred']",32,0.6548,0.7537
knn,['mordred'],32,0.654,0.7496
knn,"['mordred', 'maccs']",32,0.6431,0.6483
knn,['maccs'],32,0.633,0.6125
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.9068,0.9519
xgb,"['rdkit', 'morgan']",64,0.8614,0.7089
xgb,['morgan'],64,0.6416,0.7321
xgb,"['morgan', 'maccs']",64,0.8956,0.9054
xgb,"['morgan','mordred']",64,0.7423,0.88
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8803,0.9249
svc,"['rdkit', 'morgan']",64,0.7962,0.8749
svc,['morgan'],64,0.7002,0.6934
svc,"['morgan', 'maccs']",64,0.8978,0.8633
svc,"['morgan','mordred']",64,0.84,0.9179999999999999
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.7818,0.8144
rf,"['rdkit', 'morgan']",64,0.7894,0.7787
rf,['morgan'],64,0.722,0.6613
rf,"['morgan', 'maccs']",64,0.8497,0.7761
rf,"['morgan','mordred']",64,0.7423,0.6684
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8023,0.6379
lr,"['rdkit', 'morgan']",64,0.7106,0.5917
lr,['morgan'],64,0.6213,0.5674
lr,"['morgan', 'maccs']",64,0.7836,0.6263
lr,"['morgan','mordred']",64,0.8099,0.88
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.6955,0.7836
knn,"['rdkit', 'morgan']",64,0.6083,0.6938
knn,['morgan'],64,0.5935,0.5704
knn,"['morgan', 'maccs']",64,0.6458,0.6088
knn,"['morgan','mordred']",64,0.6548,0.7537
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8394,0.8678
xgb,"['rdkit', 'morgan']",256,0.8053,0.6968
xgb,['morgan'],256,0.6206,0.6453
xgb,"['morgan', 'maccs']",256,0.9068,0.9102
xgb,"['morgan','mordred']",256,0.7731,0.7001
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8856,0.9316
svc,"['rdkit', 'morgan']",256,0.7795,0.8279
svc,['morgan'],256,0.6882,0.7589
svc,"['morgan', 'maccs']",256,0.8896,0.8513
svc,"['morgan','mordred']",256,0.8227,0.9218
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.7818,0.7453
rf,"['rdkit', 'morgan']",256,0.8008,0.7667
rf,['morgan'],256,0.7641,0.7232
rf,"['morgan', 'maccs']",256,0.8625,0.7761
rf,"['morgan','mordred']",256,0.7551,0.6997
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8439,0.7566
lr,"['rdkit', 'morgan']",256,0.722,0.6127
lr,['morgan'],256,0.7025,0.6203
lr,"['morgan', 'maccs']",256,0.7806,0.6293
lr,"['morgan','mordred']",256,0.8084,0.8808
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.6909,0.7926
knn,"['rdkit', 'morgan']",256,0.7489,0.6965
knn,['morgan'],256,0.5586,0.5835
knn,"['morgan', 'maccs']",256,0.6465,0.6088
knn,"['morgan','mordred']",256,0.6506,0.7072
