Model,Descriptors,n_bits,ROC AUC,ROC AUC val
xgb,"['morgan','mordred']",2048,0.78470±0.00530,0.70955±0.03665
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.89865±0.00025,0.77730±0.00020
svc,"['rdkit', 'morgan']",2048,0.76290±0.00040,0.75090±0.00010
svc,['morgan'],2048,0.73400±0.00250,0.72100±0.00650
svc,"['morgan', 'maccs']",2048,0.90300±0.00010,0.78845±0.00025
svc,"['morgan','mordred']",2048,0.86525±0.00025,0.78960±0.00000
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.73165±0.01265,0.70280±0.00100
rf,"['rdkit', 'morgan']",2048,0.76575±0.00835,0.71975±0.02025
rf,['morgan'],2048,0.76870±0.00200,0.69415±0.02185
rf,"['morgan', 'maccs']",2048,0.77060±0.01630,0.74390±0.00980
rf,"['morgan','mordred']",2048,0.71410±0.02840,0.69795±0.01245
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.86510±0.00000,0.77450±0.00010
lr,"['rdkit', 'morgan']",2048,0.74200±0.00000,0.76680±0.00000
lr,['morgan'],2048,0.74330±0.00050,0.80215±0.00085
lr,"['morgan', 'maccs']",2048,0.76950±0.02480,0.72955±0.02075
lr,"['morgan','mordred']",2048,0.83290±0.01300,0.74485±0.01875
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.65030±0.00000,0.67680±0.00000
knn,"['rdkit', 'morgan']",2048,0.54320±0.01380,0.61745±0.00865
knn,['morgan'],2048,0.56750±0.00000,0.61220±0.00000
knn,"['morgan', 'maccs']",2048,0.58585±0.01255,0.63140±0.00060
knn,"['morgan','mordred']",2048,0.64800±0.00000,0.67350±0.00000
