Model,Descriptors,n_bits,ROC AUC,ROC AUC val
knn,"['morgan','mordred']",1024,0.6148,0.7165
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.9009999999999999,0.8891
xgb,"['rdkit', 'morgan']",2048,0.8537,0.8808
xgb,['morgan'],2048,0.7407,0.904
xgb,"['morgan', 'maccs']",2048,0.8505,0.9646
xgb,"['morgan','mordred']",2048,0.8797,0.8624
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.7055,0.941
svc,"['rdkit', 'morgan']",2048,0.6633,0.8846
svc,['morgan'],2048,0.5577,0.8952
svc,"['morgan', 'maccs']",2048,0.7947,0.9457
svc,"['morgan','mordred']",2048,0.6942,0.9242
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.8077,0.7538
rf,"['rdkit', 'morgan']",2048,0.7926,0.841
rf,['morgan'],2048,0.7723,0.8573
rf,"['morgan', 'maccs']",2048,0.8189,0.8535
rf,"['morgan','mordred']",2048,0.7041,0.5896
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.8083,0.9526
lr,"['rdkit', 'morgan']",2048,0.7301,0.8909999999999999
lr,['morgan'],2048,0.5831,0.9217
lr,"['morgan', 'maccs']",2048,0.8071,0.9634
lr,"['morgan','mordred']",2048,0.7692,0.9015
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.5955,0.6282
knn,"['rdkit', 'morgan']",2048,0.512,0.5494
knn,['morgan'],2048,0.4718,0.5529999999999999
knn,"['morgan', 'maccs']",2048,0.5658,0.6364
knn,"['morgan','mordred']",2048,0.5806,0.5379
rf,"['rdkit', 'morgan','mordred', 'maccs']",32,0.8354,0.6534
rf,['maccs'],32,0.768,0.7601
rf,['mordred'],32,0.7148,0.5703
rf,"['morgan', 'maccs']",32,0.7967,0.7819
rf,"['morgan','mordred']",32,0.743,0.5845
rf,['morgan'],32,0.6442,0.6074
rf,"['rdkit', 'maccs']",32,0.8613,0.753
rf,"['rdkit', 'mordred']",32,0.8159,0.6656
rf,"['rdkit', 'morgan']",32,0.7831,0.7043
rf,['rdkit'],32,0.8014,0.7331
lr,['maccs'],32,0.8155,0.8833
lr,['mordred'],32,0.758,0.7426
lr,"['morgan', 'maccs']",32,0.8255,0.8822
lr,"['morgan','mordred']",32,0.7567,0.7546
lr,['morgan'],32,0.5453,0.759
lr,"['rdkit', 'maccs']",32,0.8707,0.8671
lr,"['rdkit', 'mordred']",32,0.7308,0.7564
lr,"['rdkit', 'morgan','mordred', 'maccs']",32,0.8064,0.8383
lr,"['rdkit', 'morgan']",32,0.785,0.7741
lr,['rdkit'],32,0.8228,0.7774
knn,['maccs'],32,0.551,0.7432
knn,['mordred'],32,0.6357,0.5278
knn,"['morgan', 'maccs']",32,0.5553,0.6761
knn,"['morgan','mordred']",32,0.6542,0.6036
knn,['morgan'],32,0.5241,0.6254
knn,"['rdkit', 'maccs']",32,0.5511,0.6102
knn,"['rdkit', 'mordred']",32,0.7043,0.5249
knn,"['rdkit', 'morgan','mordred', 'maccs']",32,0.6756,0.6024
knn,"['rdkit', 'morgan']",32,0.669,0.4264
knn,['rdkit'],32,0.5605,0.4994
rf,['maccs'],64,0.7755,0.7841
rf,['mordred'],64,0.7555,0.6292
rf,"['morgan', 'maccs']",64,0.8354,0.691
rf,"['morgan','mordred']",64,0.7992,0.6216
rf,['morgan'],64,0.6379,0.5115
rf,"['rdkit', 'maccs']",64,0.8739,0.7409
rf,"['rdkit', 'mordred']",64,0.7951,0.6678
rf,"['rdkit', 'morgan','mordred', 'maccs']",64,0.8146,0.6611
rf,"['rdkit', 'morgan']",64,0.8064,0.6822
rf,['rdkit'],64,0.8153,0.7043
lr,['maccs'],64,0.8155,0.8833
lr,['mordred'],64,0.7505,0.7601
lr,"['morgan', 'maccs']",64,0.8318,0.8811
lr,"['morgan','mordred']",64,0.7536,0.7514
lr,['morgan'],64,0.5722,0.5954
lr,"['rdkit', 'maccs']",64,0.8323,0.8738
