Model,Descriptors,n_bits,ROC AUC,ROC AUC val
rf,['morgan'],512,0.73855±0.03685,0.73490±0.02390
rf,"['morgan', 'maccs']",512,0.81495±0.00975,0.76055±0.08285
rf,"['morgan','mordred']",512,0.72650±0.08800,0.63960±0.09650
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.81080±0.00000,0.93590±0.00000
lr,"['rdkit', 'morgan']",512,0.80800±0.04130,0.81985±0.11225
lr,['morgan'],512,0.75140±0.06220,0.81170±0.14540
lr,"['morgan', 'maccs']",512,0.85890±0.00100,0.90840±0.04360
lr,"['morgan','mordred']",512,0.73920±0.02880,0.76600±0.11280
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.67810±0.00000,0.72370±0.00000
knn,"['rdkit', 'morgan']",512,0.55660±0.06890,0.54790±0.08670
knn,['morgan'],512,0.50350±0.01880,0.51600±0.04270
knn,"['morgan', 'maccs']",512,0.56470±0.02690,0.65745±0.05715
knn,"['morgan','mordred']",512,0.58850±0.08040,0.65145±0.13015
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.88150±0.00000,0.91790±0.00000
xgb,"['rdkit', 'morgan']",1024,0.78780±0.02050,0.77925±0.03615
xgb,['morgan'],1024,0.79435±0.04935,0.85970±0.08980
xgb,"['morgan', 'maccs']",1024,0.86220±0.04520,0.91850±0.05370
xgb,"['morgan','mordred']",1024,0.86380±0.02080,0.83695±0.02665
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.71370±0.00000,0.90900±0.00000
svc,"['rdkit', 'morgan']",1024,0.73545±0.02995,0.80830±0.08400
svc,['morgan'],1024,0.69915±0.06825,0.78990±0.10400
svc,"['morgan', 'maccs']",1024,0.81130±0.00860,0.89690±0.04630
svc,"['morgan','mordred']",1024,0.72005±0.00855,0.76575±0.16485
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.83350±0.00000,0.78080±0.00000
rf,"['rdkit', 'morgan']",1024,0.79885±0.02015,0.71445±0.05995
rf,['morgan'],1024,0.69520±0.05900,0.75165±0.02865
rf,"['morgan', 'maccs']",1024,0.78410±0.05640,0.74420±0.05760
rf,"['morgan','mordred']",1024,0.77240±0.06820,0.71545±0.11785
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.80330±0.00000,0.93850±0.00000
lr,"['rdkit', 'morgan']",1024,0.71970±0.03310,0.76080±0.12510
lr,['morgan'],1024,0.67725±0.04575,0.76560±0.11570
lr,"['morgan', 'maccs']",1024,0.80290±0.06990,0.85795±0.09025
lr,"['morgan','mordred']",1024,0.73920±0.03440,0.77450±0.11690
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.63300±0.00000,0.63460±0.00000
knn,"['rdkit', 'morgan']",1024,0.52490±0.00000,0.54420±0.00000
knn,['morgan'],1024,0.49500±0.00000,0.55110±0.00000
knn,"['morgan', 'maccs']",1024,0.60080±0.00000,0.63640±0.00000
knn,"['morgan','mordred']",1024,0.61480±0.00000,0.71650±0.00000
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.90100±0.00000,0.88910±0.00000
xgb,"['rdkit', 'morgan']",2048,0.86285±0.00915,0.82635±0.05445
xgb,['morgan'],2048,0.80280±0.06210,0.84075±0.06325
xgb,"['morgan', 'maccs']",2048,0.88960±0.03910,0.88960±0.07500
xgb,"['morgan','mordred']",2048,0.86105±0.01865,0.83195±0.03045
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.70550±0.00000,0.94100±0.00000
svc,"['rdkit', 'morgan']",2048,0.74370±0.08040,0.76955±0.11505
svc,['morgan'],2048,0.69100±0.13330,0.73820±0.15700
svc,"['morgan', 'maccs']",2048,0.80385±0.00915,0.89050±0.05520
svc,"['morgan','mordred']",2048,0.71765±0.02345,0.77070±0.15350
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.80770±0.00000,0.75380±0.00000
rf,"['rdkit', 'morgan']",2048,0.79260±0.00000,0.84100±0.00000
rf,['morgan'],2048,0.77230±0.00000,0.85730±0.00000
rf,"['morgan', 'maccs']",2048,0.81890±0.00000,0.85350±0.00000
rf,"['morgan','mordred']",2048,0.70410±0.00000,0.58960±0.00000
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.80830±0.00000,0.95260±0.00000
lr,"['rdkit', 'morgan']",2048,0.73010±0.00000,0.89100±0.00000
lr,['morgan'],2048,0.58310±0.00000,0.92170±0.00000
lr,"['morgan', 'maccs']",2048,0.80710±0.00000,0.96340±0.00000
lr,"['morgan','mordred']",2048,0.76920±0.00000,0.90150±0.00000
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.59550±0.00000,0.62820±0.00000
knn,"['rdkit', 'morgan']",2048,0.51200±0.00000,0.54940±0.00000
knn,['morgan'],2048,0.47180±0.00000,0.55300±0.00000
knn,"['morgan', 'maccs']",2048,0.56580±0.00000,0.63640±0.00000
knn,"['morgan','mordred']",2048,0.58060±0.00000,0.53790±0.00000
rf,"['rdkit', 'morgan','mordred', 'maccs']",32,0.83540±0.00000,0.65340±0.00000
lr,"['rdkit', 'morgan','mordred', 'maccs']",32,0.80640±0.00000,0.83830±0.00000
knn,"['rdkit', 'morgan','mordred', 'maccs']",32,0.67560±0.00000,0.60240±0.00000
rf,['maccs'],64,0.77550±0.00000,0.78410±0.00000
rf,['mordred'],64,0.75550±0.00000,0.62920±0.00000
rf,"['rdkit', 'maccs']",64,0.87390±0.00000,0.74090±0.00000
rf,"['rdkit', 'mordred']",64,0.79510±0.00000,0.66780±0.00000
rf,"['rdkit', 'morgan','mordred', 'maccs']",64,0.81460±0.00000,0.66110±0.00000
rf,['rdkit'],64,0.81530±0.00000,0.70430±0.00000
lr,['maccs'],64,0.81550±0.00000,0.88330±0.00000
lr,['mordred'],64,0.75050±0.00000,0.76010±0.00000
lr,"['rdkit', 'maccs']",64,0.83230±0.00000,0.87380±0.00000
lr,"['rdkit', 'mordred']",64,0.72890±0.00000,0.73980±0.00000
lr,"['rdkit', 'morgan','mordred', 'maccs']",64,0.80580±0.00000,0.83390±0.00000
lr,['rdkit'],64,0.82280±0.00000,0.77740±0.00000
knn,['maccs'],64,0.55100±0.00000,0.74320±0.00000
knn,['mordred'],64,0.63570±0.00000,0.52780±0.00000
knn,"['rdkit', 'maccs']",64,0.55110±0.00000,0.61020±0.00000
knn,"['rdkit', 'mordred']",64,0.70430±0.00000,0.52490±0.00000
knn,"['rdkit', 'morgan','mordred', 'maccs']",64,0.67500±0.00000,0.60240±0.00000
knn,['rdkit'],64,0.56050±0.00000,0.49940±0.00000
rf,['maccs'],256,0.79420±0.00000,0.80700±0.00000
rf,['mordred'],256,0.70040±0.00000,0.56710±0.00000
rf,"['rdkit', 'maccs']",256,0.86000±0.00000,0.75300±0.00000
rf,"['rdkit', 'mordred']",256,0.69990±0.00000,0.61570±0.00000
rf,"['rdkit', 'morgan','mordred', 'maccs']",256,0.79950±0.00000,0.66450±0.00000
rf,['rdkit'],256,0.83480±0.00000,0.70320±0.00000
lr,['maccs'],256,0.85800±0.00000,0.89640±0.00000
lr,['mordred'],256,0.74980±0.00000,0.73720±0.00000
lr,"['rdkit', 'maccs']",256,0.84620±0.00000,0.86820±0.00000
lr,"['rdkit', 'mordred']",256,0.73080±0.00000,0.75860±0.00000
lr,"['rdkit', 'morgan','mordred', 'maccs']",256,0.81080±0.00000,0.83060±0.00000
lr,['rdkit'],256,0.82280±0.00000,0.77740±0.00000
knn,['maccs'],256,0.55100±0.00000,0.74320±0.00000
knn,['mordred'],256,0.63570±0.00000,0.52780±0.00000
knn,"['rdkit', 'maccs']",256,0.55110±0.00000,0.61020±0.00000
knn,"['rdkit', 'mordred']",256,0.70430±0.00000,0.52490±0.00000
knn,"['rdkit', 'morgan','mordred', 'maccs']",256,0.67210±0.00000,0.60350±0.00000
knn,['rdkit'],256,0.56050±0.00000,0.49940±0.00000
rf,['maccs'],512,0.77420±0.00000,0.78840±0.00000
rf,['mordred'],512,0.67040±0.00000,0.55620±0.00000
rf,"['rdkit', 'maccs']",512,0.88020±0.00000,0.74200±0.00000
rf,"['rdkit', 'mordred']",512,0.79630±0.00000,0.65010±0.00000
rf,"['rdkit', 'morgan','mordred', 'maccs']",512,0.82600±0.00000,0.68220±0.00000
rf,['rdkit'],512,0.79260±0.00000,0.72090±0.00000
lr,['maccs'],512,0.86430±0.00000,0.89860±0.00000
lr,['mordred'],512,0.76610±0.00000,0.78080±0.00000
lr,"['rdkit', 'maccs']",512,0.84550±0.00000,0.86820±0.00000
lr,"['rdkit', 'mordred']",512,0.73010±0.00000,0.74970±0.00000
lr,"['rdkit', 'morgan','mordred', 'maccs']",512,0.83350±0.00000,0.83060±0.00000
lr,['rdkit'],512,0.82280±0.00000,0.77740±0.00000
knn,['maccs'],512,0.55100±0.00000,0.74320±0.00000
knn,['mordred'],512,0.63570±0.00000,0.52780±0.00000
knn,"['rdkit', 'maccs']",512,0.55110±0.00000,0.61020±0.00000
knn,"['rdkit', 'mordred']",512,0.70430±0.00000,0.52490±0.00000
knn,"['rdkit', 'morgan','mordred', 'maccs']",512,0.67180±0.00000,0.59970±0.00000
knn,['rdkit'],512,0.56050±0.00000,0.49940±0.00000
rf,['maccs'],1024,0.78300±0.00000,0.78190±0.00000
rf,['mordred'],1024,0.68360±0.00000,0.61940±0.00000
rf,"['rdkit', 'maccs']",1024,0.86510±0.00000,0.74640±0.00000
rf,"['rdkit', 'mordred']",1024,0.69550±0.00000,0.60350±0.00000
rf,"['rdkit', 'morgan','mordred', 'maccs']",1024,0.74210±0.00000,0.66220±0.00000
rf,['rdkit'],1024,0.86890±0.00000,0.75190±0.00000
lr,['maccs'],1024,0.83050±0.00000,0.88770±0.00000
lr,['mordred'],1024,0.75980±0.00000,0.74260±0.00000
lr,"['rdkit', 'maccs']",1024,0.87700±0.00000,0.87040±0.00000
lr,"['rdkit', 'mordred']",1024,0.72820±0.00000,0.75860±0.00000
lr,"['rdkit', 'morgan','mordred', 'maccs']",1024,0.75090±0.00000,0.76970±0.00000
lr,['rdkit'],1024,0.82280±0.00000,0.77740±0.00000
knn,['maccs'],1024,0.55100±0.00000,0.74320±0.00000
knn,['mordred'],1024,0.63570±0.00000,0.52780±0.00000
xgb,['maccs'],2048,0.90560±0.00000,0.84510±0.00000
xgb,['mordred'],2048,0.81550±0.00000,0.82120±0.00000
xgb,"['mordred', 'maccs']",2048,0.90180±0.00000,0.85660±0.00000
knn,"['mordred', 'maccs']",2048,0.66640±0.00000,0.60310±0.00000
lr,"['mordred', 'maccs']",2048,0.82240±0.00000,0.85060±0.00000
