Model,Descriptors,n_bits,ROC AUC,ROC AUC val
svc,"['rdkit', 'morgan']",2048,0.90180±0.00000,0.90680±0.00000
svc,['morgan'],2048,0.89640±0.00000,0.90500±0.00000
svc,"['morgan', 'maccs']",2048,0.91270±0.00000,0.89500±0.00000
svc,"['morgan','mordred']",2048,0.89480±0.00000,0.89540±0.00000
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.84180±0.01150,0.81985±0.02795
rf,"['rdkit', 'morgan']",2048,0.87980±0.00120,0.88225±0.00195
rf,['morgan'],2048,0.89605±0.00065,0.89635±0.00185
rf,"['morgan', 'maccs']",2048,0.89260±0.00020,0.90550±0.00020
rf,"['morgan','mordred']",2048,0.85575±0.00045,0.84570±0.00050
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.90515±0.00005,0.89190±0.00010
lr,"['rdkit', 'morgan']",2048,0.89520±0.00000,0.90010±0.00000
lr,['morgan'],2048,0.89440±0.00030,0.89930±0.00310
lr,"['morgan', 'maccs']",2048,0.90940±0.00000,0.90300±0.00000
lr,"['morgan','mordred']",2048,0.89080±0.00010,0.89030±0.00020
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.88370±0.00000,0.88720±0.00000
knn,"['rdkit', 'morgan']",2048,0.87290±0.00000,0.89920±0.00000
knn,['morgan'],2048,0.86810±0.00000,0.89400±0.00000
knn,"['morgan', 'maccs']",2048,0.85520±0.00000,0.83680±0.00000
knn,"['morgan','mordred']",2048,0.85470±0.00000,0.88490±0.00000
