Model,Descriptors,n_bits,ROC AUC,ROC AUC val
xgb,"['morgan', 'maccs']",2048,0.9327,0.8437
xgb,"['morgan','mordred']",2048,0.79,0.6729
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.8984,0.7771
svc,"['rdkit', 'morgan']",2048,0.7625,0.7508
svc,['morgan'],2048,0.7365,0.7145
svc,"['morgan', 'maccs']",2048,0.9029,0.7887
svc,"['morgan','mordred']",2048,0.8655,0.7896
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.7443,0.7018
rf,"['rdkit', 'morgan']",2048,0.7741,0.74
rf,['morgan'],2048,0.7707,0.6723
rf,"['morgan', 'maccs']",2048,0.7869,0.7537
rf,"['morgan','mordred']",2048,0.6857,0.7104
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.8651,0.7744
lr,"['rdkit', 'morgan']",2048,0.742,0.7668
lr,['morgan'],2048,0.7438,0.8029999999999999
lr,"['morgan', 'maccs']",2048,0.7943,0.7503
lr,"['morgan','mordred']",2048,0.8459,0.7636
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.6503,0.6768
knn,"['rdkit', 'morgan']",2048,0.5294,0.6088
knn,['morgan'],2048,0.5675,0.6122
knn,"['morgan', 'maccs']",2048,0.5984,0.6308
knn,"['morgan','mordred']",2048,0.648,0.6735
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8242,0.6601
xgb,['rdkit'],32,0.6899,0.7596
xgb,"['rdkit', 'maccs']",32,0.9655,0.9087
xgb,"['rdkit', 'mordred']",32,0.7524,0.6970000000000001
xgb,"['rdkit', 'morgan']",32,0.7809999999999999,0.747
xgb,['morgan'],32,0.674,0.5899
xgb,"['morgan', 'maccs']",32,0.9566,0.8807
xgb,"['morgan','mordred']",32,0.7449,0.7237
xgb,['mordred'],32,0.7266,0.691
xgb,"['mordred', 'maccs']",32,0.9631,0.8982
xgb,['maccs'],32,0.9663,0.8682
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8879,0.8191
svc,['rdkit'],32,0.8278,0.8068
svc,"['rdkit', 'maccs']",32,0.8854,0.7855
svc,"['rdkit', 'mordred']",32,0.7986,0.8011
svc,"['rdkit', 'morgan']",32,0.7758,0.7768
svc,['morgan'],32,0.5506,0.526
svc,"['morgan', 'maccs']",32,0.9002,0.7689
svc,"['morgan','mordred']",32,0.8221,0.7979999999999999
svc,['mordred'],32,0.8255,0.7922
svc,"['mordred', 'maccs']",32,0.8746,0.7956
svc,['maccs'],32,0.9026,0.7709999999999999
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.7786,0.7802
rf,['rdkit'],32,0.7698,0.736
rf,"['rdkit', 'maccs']",32,0.8057,0.7708
rf,"['rdkit', 'mordred']",32,0.7515,0.721
rf,"['rdkit', 'morgan']",32,0.7584,0.7363
rf,['morgan'],32,0.6977,0.6243
rf,"['morgan', 'maccs']",32,0.7591,0.7464
rf,"['morgan','mordred']",32,0.7645,0.7072
rf,['mordred'],32,0.75,0.6977
rf,"['mordred', 'maccs']",32,0.7712,0.7178
rf,['maccs'],32,0.8137,0.7919
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.858,0.7668
lr,['rdkit'],32,0.7132,0.7005
lr,"['rdkit', 'maccs']",32,0.7831,0.7444
lr,"['rdkit', 'mordred']",32,0.8312,0.7389
lr,"['rdkit', 'morgan']",32,0.7077,0.6952
lr,['morgan'],32,0.6781,0.6447
lr,"['morgan', 'maccs']",32,0.7801,0.7415
lr,"['morgan','mordred']",32,0.8327,0.7349
lr,['mordred'],32,0.8433,0.7724
lr,"['mordred', 'maccs']",32,0.8583,0.773
lr,['maccs'],32,0.7821,0.7394
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.62,0.6738
knn,['rdkit'],32,0.6014,0.6051
knn,"['rdkit', 'maccs']",32,0.541,0.6526
knn,"['rdkit', 'mordred']",32,0.6882,0.6625
knn,"['rdkit', 'morgan']",32,0.7525,0.6548
knn,['morgan'],32,0.6086,0.6595
knn,"['morgan', 'maccs']",32,0.5396,0.6539
knn,"['morgan','mordred']",32,0.7146,0.6757
knn,['mordred'],32,0.6904,0.6598
knn,"['mordred', 'maccs']",32,0.6216,0.6572
knn,['maccs'],32,0.5595,0.7132
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.9670000000000001,0.9099
xgb,"['rdkit', 'morgan']",64,0.6286,0.7315
xgb,['morgan'],64,0.6333,0.6829999999999999
xgb,"['morgan', 'maccs']",64,0.9397,0.8841
xgb,"['morgan','mordred']",64,0.63,0.6801
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8854,0.7811
svc,"['rdkit', 'morgan']",64,0.7217,0.7646
svc,['morgan'],64,0.5904,0.687
svc,"['morgan', 'maccs']",64,0.8971,0.7656
svc,"['morgan','mordred']",64,0.8283,0.7942
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.7573,0.7494
rf,"['rdkit', 'morgan']",64,0.7845,0.7695
rf,['morgan'],64,0.7153,0.6261
rf,"['morgan', 'maccs']",64,0.7919,0.7476
rf,"['morgan','mordred']",64,0.7529,0.6975
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8585,0.7668
lr,"['rdkit', 'morgan']",64,0.7082,0.7093
lr,['morgan'],64,0.6596,0.6777
lr,"['morgan', 'maccs']",64,0.7823,0.7390000000000001
lr,"['morgan','mordred']",64,0.8038,0.7817
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.6202,0.6739
knn,"['rdkit', 'morgan']",64,0.6202,0.6762
knn,['morgan'],64,0.5743,0.6029
knn,"['morgan', 'maccs']",64,0.5396,0.654
knn,"['morgan','mordred']",64,0.6655,0.609
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.9689,0.9177
xgb,"['rdkit', 'morgan']",256,0.7386,0.7529
xgb,['morgan'],256,0.7339,0.7607
xgb,"['morgan', 'maccs']",256,0.9607,0.8976
xgb,"['morgan','mordred']",256,0.7982,0.7344
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8695,0.7824
svc,"['rdkit', 'morgan']",256,0.7674,0.7349
svc,['morgan'],256,0.7683,0.7020000000000001
svc,"['morgan', 'maccs']",256,0.8806,0.7927
svc,"['morgan','mordred']",256,0.8296,0.797
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.7829,0.7419
rf,"['rdkit', 'morgan']",256,0.7698,0.7318
rf,['morgan'],256,0.7837,0.6836
rf,"['morgan', 'maccs']",256,0.6435,0.6267
rf,"['morgan','mordred']",256,0.6683,0.7367
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8564,0.7711
lr,"['rdkit', 'morgan']",256,0.7258,0.7262
lr,['morgan'],256,0.7170000000000001,0.7287
lr,"['morgan', 'maccs']",256,0.7829999999999999,0.7459
lr,"['morgan','mordred']",256,0.8134,0.7138
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.6188,0.6746
knn,"['rdkit', 'morgan']",256,0.6575,0.6959
knn,['morgan'],256,0.5447,0.5465
knn,"['morgan', 'maccs']",256,0.5107,0.634
knn,"['morgan','mordred']",256,0.6839,0.6565
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.9674,0.9179999999999999
