Model,Descriptors,n_bits,ROC AUC,ROC AUC val
xgb,"['morgan','mordred']",2048,0.75750±0.00810,0.72090±0.01640
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.86590±0.00000,0.92640±0.00000
svc,"['rdkit', 'morgan']",2048,0.70080±0.00000,0.82080±0.00000
svc,['morgan'],2048,0.66115±0.01425,0.82785±0.00485
svc,"['morgan', 'maccs']",2048,0.86550±0.00000,0.86700±0.00000
svc,"['morgan','mordred']",2048,0.77950±0.00040,0.92180±0.00000
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.79850±0.05150,0.75135±0.06385
rf,"['rdkit', 'morgan']",2048,0.73675±0.00795,0.66415±0.00635
rf,['morgan'],2048,0.76860±0.01350,0.69390±0.03970
rf,"['morgan', 'maccs']",2048,0.81030±0.00110,0.73135±0.03505
rf,"['morgan','mordred']",2048,0.74830±0.01950,0.72855±0.02625
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.80610±0.00000,0.64990±0.00000
lr,"['rdkit', 'morgan']",2048,0.76210±0.00150,0.80430±0.12170
lr,['morgan'],2048,0.74305±0.00375,0.87295±0.01265
lr,"['morgan', 'maccs']",2048,0.80690±0.02330,0.68365±0.03575
lr,"['morgan','mordred']",2048,0.81405±0.00785,0.85915±0.00225
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.68640±0.00000,0.74120±0.00000
knn,"['rdkit', 'morgan']",2048,0.61360±0.00000,0.61830±0.00000
knn,['morgan'],2048,0.61680±0.00000,0.58270±0.00000
knn,"['morgan', 'maccs']",2048,0.59710±0.05350,0.60955±0.00895
knn,"['morgan','mordred']",2048,0.64160±0.00000,0.74630±0.00000
