Model,Descriptors,n_bits,ROC AUC,ROC AUC val
rf,"['rdkit', 'morgan']",512,0.91600±0.00880,0.90105±0.00405
rf,['morgan'],512,0.90365±0.00155,0.89520±0.00230
rf,"['morgan', 'maccs']",512,0.92320±0.00090,0.90355±0.00545
rf,"['morgan','mordred']",512,0.90080±0.00360,0.89450±0.00160
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.92100±0.00000,0.91420±0.00000
lr,"['rdkit', 'morgan']",512,0.89840±0.00000,0.92070±0.00000
lr,['morgan'],512,0.90285±0.00135,0.90820±0.00090
lr,"['morgan', 'maccs']",512,0.90725±0.00095,0.92515±0.00045
lr,"['morgan','mordred']",512,0.91650±0.00000,0.90085±0.00425
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.89750±0.00000,0.83120±0.00000
knn,"['rdkit', 'morgan']",512,0.88175±0.00525,0.82830±0.01190
knn,['morgan'],512,0.89085±0.02565,0.83060±0.02850
knn,"['morgan', 'maccs']",512,0.87015±0.00985,0.82525±0.01355
knn,"['morgan','mordred']",512,0.91595±0.01275,0.84750±0.04180
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.92680±0.00000,0.91220±0.00000
xgb,"['rdkit', 'morgan']",1024,0.93340±0.00170,0.90935±0.00395
xgb,['morgan'],1024,0.94510±0.00000,0.91440±0.00000
xgb,"['morgan', 'maccs']",1024,0.94280±0.00000,0.92030±0.00000
xgb,"['morgan','mordred']",1024,0.92375±0.00005,0.91015±0.00015
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.90325±0.01145,0.91030±0.00840
svc,"['rdkit', 'morgan']",1024,0.90280±0.00000,0.90490±0.00000
svc,['morgan'],1024,0.90875±0.00265,0.88210±0.00580
svc,"['morgan', 'maccs']",1024,0.91450±0.00000,0.90870±0.00000
svc,"['morgan','mordred']",1024,0.89910±0.00930,0.90480±0.00430
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.91695±0.00025,0.90235±0.00015
rf,"['rdkit', 'morgan']",1024,0.92470±0.00010,0.90495±0.00015
rf,['morgan'],1024,0.93010±0.00010,0.89685±0.00175
rf,"['morgan', 'maccs']",1024,0.92695±0.00115,0.90260±0.00520
rf,"['morgan','mordred']",1024,0.90975±0.00325,0.89900±0.00040
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.91980±0.00070,0.91130±0.00340
lr,"['rdkit', 'morgan']",1024,0.91455±0.00085,0.91230±0.00220
lr,['morgan'],1024,0.92410±0.00080,0.88915±0.00605
lr,"['morgan', 'maccs']",1024,0.92095±0.00165,0.92030±0.00050
lr,"['morgan','mordred']",1024,0.92095±0.00205,0.90415±0.00315
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.90910±0.00000,0.83730±0.00000
knn,"['rdkit', 'morgan']",1024,0.88610±0.00070,0.82055±0.00145
knn,['morgan'],1024,0.87140±0.00000,0.78680±0.00000
knn,"['morgan', 'maccs']",1024,0.87705±0.01915,0.81715±0.01705
knn,"['morgan','mordred']",1024,0.91290±0.01080,0.81250±0.01540
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.92725±0.00465,0.91515±0.00325
xgb,"['rdkit', 'morgan']",2048,0.93420±0.00000,0.91280±0.00000
xgb,['morgan'],2048,0.94030±0.00000,0.92000±0.00000
xgb,"['morgan', 'maccs']",2048,0.94260±0.00090,0.92145±0.00535
xgb,"['morgan','mordred']",2048,0.92445±0.00215,0.91215±0.00095
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.91065±0.01315,0.92120±0.00840
svc,"['rdkit', 'morgan']",2048,0.91795±0.00005,0.90890±0.00000
svc,['morgan'],2048,0.92375±0.00145,0.89665±0.00805
svc,"['morgan', 'maccs']",2048,0.92125±0.00005,0.91500±0.00010
svc,"['morgan','mordred']",2048,0.90680±0.01390,0.91000±0.00420
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.90900±0.00550,0.89495±0.00515
rf,"['rdkit', 'morgan']",2048,0.92610±0.00060,0.90370±0.00020
rf,['morgan'],2048,0.91925±0.01785,0.89580±0.00340
rf,"['morgan', 'maccs']",2048,0.93070±0.00580,0.89900±0.00680
rf,"['morgan','mordred']",2048,0.89200±0.02240,0.87100±0.02190
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.93165±0.00185,0.91900±0.00220
lr,"['rdkit', 'morgan']",2048,0.92540±0.00000,0.91300±0.00000
lr,['morgan'],2048,0.93470±0.00000,0.90110±0.00010
lr,"['morgan', 'maccs']",2048,0.93070±0.00000,0.92070±0.00000
lr,"['morgan','mordred']",2048,0.93040±0.00100,0.90900±0.00360
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.89610±0.00000,0.82480±0.00000
knn,"['rdkit', 'morgan']",2048,0.87330±0.00000,0.81220±0.00000
knn,['morgan'],2048,0.87210±0.00000,0.80200±0.00000
knn,"['morgan', 'maccs']",2048,0.87665±0.00285,0.81845±0.00145
knn,"['morgan','mordred']",2048,0.92060±0.00000,0.82770±0.00000
